,Security,Description,Category,Subcategory
,GECU10YR Index,Euro Generic Govt Bond 10 Year,Index/Stats,Miscellaneous Indices
,GECU2YR Index,Euro Generic Govt Bond 2 Year,Index/Stats,Miscellaneous Indices
,GECU5YR Index,Euro Generic Govt Bond 5 Year,Index/Stats,Miscellaneous Indices
,GECU30YR Index,Euro Generic Govt Bond 30 Year,Index/Stats,Miscellaneous Indices
